Pays,Année,Primes Emises (mn USD),Croissance Primes (%),Taux Penetration (%),Densite Assurance (USD/hab)
Côte d'Ivoire,2022,358.14,-3.12,0.5,11.78
Côte d'Ivoire,2023,359.87,0.48,0.45,11.55
Côte d'Ivoire,2024,440.06,22.28,0.51,13.78
Gabon,2015,28.77,-19.61,0.2,14.77
Gabon,2016,29.83,3.67,0.21,14.85
Gabon,2017,36.68,22.97,0.25,17.76
Gabon,2018,34.23,-6.67,0.2,16.15
Gabon,2019,34.56,0.97,0.2,15.91
Gabon,2020,37.67,9.0,0.25,16.93
Gabon,2021,44.71,18.66,0.23,18.81
Gabon,2022,45.9,2.67,0.22,18.88
Gabon,2023,51.11,11.35,0.25,20.57
Gabon,2024,58.85,15.15,0.28,23.18
Ghana,2015,190.02,-5.2,0.38,6.62
Ghana,2016,219.7,15.62,0.39,7.48
Ghana,2017,248.71,13.2,0.41,8.29
Ghana,2018,291.58,17.24,0.43,9.52
Ghana,2019,316.63,8.59,0.46,10.13
Ghana,2020,361.17,14.07,0.52,11.33
Ghana,2021,432.85,19.85,0.54,13.31
Ghana,2022,369.18,-14.71,0.5,11.14
Ghana,2023,348.27,-5.66,0.43,10.31
Ghana,2024,160.65,-53.87,0.19,4.67
Kenya,2015,632.16,-1.77,0.9,13.42
Kenya,2016,724.3,14.57,0.97,15.05
Kenya,2017,800.77,10.56,0.98,16.28
Kenya,2018,862.85,7.75,0.94,17.19
Kenya,2019,954.94,10.67,0.95,18.65
Kenya,2020,958.92,0.42,0.95,18.36
Kenya,2021,1128.14,17.65,1.03,21.2
Kenya,2022,1195.88,6.0,1.04,22.04
Kenya,2023,1216.16,1.7,1.13,21.98
Kenya,2024,1422.6,16.98,1.18,25.21
Madagascar,2015,12.83,-15.99,0.11,0.5
Madagascar,2016,12.32,-4.02,0.1,0.47
Madagascar,2017,13.99,13.58,0.11,0.52
Madagascar,2018,15.4,10.09,0.11,0.56
Madagascar,2019,15.22,-1.17,0.11,0.54
Madagascar,2020,15.31,0.61,0.12,0.53
Madagascar,2021,16.65,8.7,0.12,0.56
Madagascar,2022,16.14,-3.04,0.11,0.53
Madagascar,2023,18.2,12.8,0.11,0.58
Madagascar,2024,31.25,71.7,0.1734,0.95
Malawi,2015,37.27,68.81,0.41,2.23
Malawi,2016,26.85,-27.94,0.35,1.56
Malawi,2017,31.91,18.82,0.36,1.81
Malawi,2018,40.49,26.89,0.41,2.23
Malawi,2019,48.02,18.6,0.44,2.58
Malawi,2020,56.3,17.25,0.48,2.94
Malawi,2021,67.01,19.01,0.54,3.34
Malawi,2022,64.8,-3.29,0.52,3.15
Malawi,2023,64.9,0.16,0.52,3.08
Malawi,2024,57.29,-11.73,0.53,2.65
