Pays,Année,Primes Emises (mn USD),Croissance Primes (%),Taux Penetration (%),Densite Assurance (USD/hab)
MOROCCO,2021,2552.41,18.85,1.8,69.07
MOROCCO,2022,2500.37,-2.04,1.91,66.98
MOROCCO,2023,2557.48,2.28,1.77,67.82
MOROCCO,2024,2738.58,7.08,1.87,71.91
MAURITIUS,2015,265.54,-50.11,2.21,210.26
MAURITIUS,2016,311.89,17.46,2.48,246.8
MAURITIUS,2017,343.56,10.15,2.51,271.61
MAURITIUS,2018,293.83,-14.47,1.99,232.17
MAURITIUS,2019,302.49,2.95,2.1,238.94
MAURITIUS,2020,267.66,-11.51,2.35,211.42
MAURITIUS,2021,278.55,4.07,2.43,219.97
MAURITIUS,2022,287.11,3.07,2.22,227.41
MAURITIUS,2023,258.4,-10.0,1.83,204.91
MAURITIUS,2024,267.61,3.56,1.79,212.47
MAURITANIE,2015,206.2735,-80.0,0.1342,4.9184
MAURITANIE,2016,206.4138,0.07,0.1357,4.9521
MAURITANIE,2017,0.725,-80.0,0.1372,4.9859
MAURITANIE,2018,0.77,6.2,0.01,0.18
MAURITANIE,2019,0.88,14.15,0.01,0.19
MAURITANIE,2020,0.93,5.61,0.01,0.2
MAURITANIE,2021,1.21,30.09,0.01,0.26
MAURITANIE,2022,1.76,45.59,0.02,0.37
MAURITANIE,2023,207.3955,400.0,0.1462,5.1884
MAURITANIE,2024,207.5357,0.07,0.1477,5.2221
MOZAMBIQUE,2015,42.32,7.6,0.26,1.56
MOZAMBIQUE,2016,29.07,-31.31,0.24,1.04
MOZAMBIQUE,2017,23.93,-17.69,0.18,0.84
MOZAMBIQUE,2018,27.77,16.06,0.18,0.94
MOZAMBIQUE,2019,34.19,23.13,0.22,1.13
MOZAMBIQUE,2020,35.49,3.79,0.25,1.14
MOZAMBIQUE,2021,36.21,2.03,0.22,1.13
MOZAMBIQUE,2022,46.75,29.13,0.25,1.42
MOZAMBIQUE,2023,50.48,7.98,0.24,1.49
MOZAMBIQUE,2024,52.13,3.26,0.23,1.5
NAMIBIA,2015,570.57,-16.77,5.03,246.48
NAMIBIA,2016,523.75,-8.21,4.88,222.11
NAMIBIA,2017,681.71,30.16,5.29,283.74
NAMIBIA,2018,404.92,-40.6,2.96,165.39
NAMIBIA,2019,805.68,98.97,6.42,322.98
NAMIBIA,2020,575.83,-28.53,5.44,226.62
NAMIBIA,2021,740.62,28.62,5.97,263.51
NAMIBIA,2022,673.36,-9.08,5.36,233.02
NAMIBIA,2023,615.22,-8.63,4.96,207.63
NAMIBIA,2024,783.82,27.41,5.86,258.68
NIGER,2015,8.37,-15.52,0.09,0.42
NIGER,2016,8.94,6.75,0.09,0.43
NIGER,2017,9.41,5.24,0.08,0.44
NIGER,2018,11.96,27.08,0.09,0.53
NIGER,2019,11.48,-4.02,0.09,0.49
NIGER,2020,13.61,18.58,0.1,0.56
NIGER,2021,15.17,11.48,0.1,0.62
NIGER,2022,14.86,-2.04,0.1,0.59
NIGER,2023,15.69,5.58,0.09,0.6
NIGER,2024,36.1472,130.38,0.1575,2.0499
NIGERIA,2015,491.53,-9.33,0.1,2.71
NIGERIA,2016,492.42,0.18,0.12,2.65
NIGERIA,2017,394.33,-19.92,0.1,2.07
NIGERIA,2018,590.69,49.79,0.14,3.02
NIGERIA,2019,725.36,22.8,0.15,3.61
NIGERIA,2020,635.6,-12.37,0.15,3.08
NIGERIA,2021,651.83,2.55,0.15,2.98
NIGERIA,2022,784.95,20.42,0.17,3.52
NIGERIA,2023,624.32,-20.46,0.17,2.74
NIGERIA,2024,317.72,-49.11,0.13,1.37
UGANDA,2015,29.18,23.3,0.09,0.76
UGANDA,2016,36.66,25.62,0.12,0.92
UGANDA,2017,40.19,9.63,0.12,0.98
UGANDA,2018,49.61,23.44,0.14,1.16
UGANDA,2019,64.81,30.65,0.17,1.46
UGANDA,2020,77.76,19.98,0.19,1.7
UGANDA,2021,91.58,17.77,0.2,1.99
UGANDA,2022,112.4,22.73,0.22,2.38
UGANDA,2023,74.31,-33.89,0.14,1.53
UGANDA,2024,68.49,-7.83,0.12,1.37
ZAIRE,2015,0.0885,81.58,0.001,0.001
