Année,Pays,Annual Real GDP Growth (%),Current Account Balance (mn),Exchange Rate,GDP Per Capita,Gross Domestic Product (mn),Inflation Rate (%),Integration_Regionale_Score
2017,Burundi,"5,3067","-389,1746723","1782,876831","256,0774944","3036,937216","-2,814698077","0,20338"
2018,Burundi,"4,4601","-392,7438552","1845,622925","245,7956999","3012,30889","-0,686772171","0,20338"
2019,Burundi,"0,3272","-344,6876757","1915,046143","244,6205845","3086,386721","7,321106434","0,20338"
2020,Burundi,"3,1","-393,879529","1975,950928","258,1190863","3346,638109","8,404538451","0,20338"
2021,Burundi,"1,849","-621,9691899","2034,306641","294,0941949","3917,657297","18,80087867","0,20338"
2022,Burundi,"2,7","-625,5973559","2574,051758","257,4528199","3524,387506","26,94148358","0,20338"
2023,Burundi,"3,5","-738,8672074","2884,87915","254,5078977","3575,272482","20,2124925","0,20338"
2024,Burundi,"4,1","-753,6832744","2943,113281","325,7969945","4688,218752","36,145","0,20338"
2015,Bénin,"3,339673426","-354,241236","592,6055908","1049,828268","11821,0663","-0,793310146","0,34708"
2016,Bénin,"5,671561952","-531,0295114","580,6567383","1095,253615","12701,65618","0,043264856","0,34708"
2017,Bénin,"6,697253621","-648,8248049","555,4464722","1194,406453","14262,40746","0,919170718","0,34708"
2018,Bénin,"6,865686629","-575,5928178","585,9508057","1170,928252","14390,70821","0,732849371","0,34708"
2019,Bénin,"3,8488","-292,4725476","574,2945557","1240,743758","15686,72333","3,022721197","0,34708"
2020,Bénin,"7,1555","-734,6591066","554,6077881","1360,900559","17687,62456","1,733539627","0,34708"
2021,Bénin,"6,2532","-991,0046225","622,9123535","1304,981463","17425,41748","1,350778636","0,34708"
2022,Bénin,"6,3528","-1608,543371","606,6549683","1434,645333","19673,29145","2,738700784","0,34708"
2023,Bénin,"7,5","-1440,86957","606,3452759","1502,896904","21189,34345","1,160930896","0,34708"
2024,Bénin,"6,6","-1412,812757","583,8901978","1622,13264","23546,8774","1,2565","0,34708"
2015,Cameroun,"4,671730001","-1037,444249","592,6055908","1413,255979","33814,33842","0,874190383","0,26809"
2016,Cameroun,"4,8","-949,7630434","580,6567383","1469,447403","36098,54776","0,64040915","0,26809"
2017,Cameroun,"3,955514241","-1409,334284","555,4464722","1585,240614","39973,84107","1,068858113","0,26809"
2018,Cameroun,"3,47503746","-1695,070703","585,9110107","1533,09566","39670,97661","2,452802141","0,26809"
2019,Cameroun,"0,259954735","-1512,407004","575,5859985","1535,954589","40773,24164","2,437608822","0,26809"
2020,Cameroun,"3,338750849","-1794,494947","554,5307007","1672,326228","45011,92805","2,271857625","0,26809"
2021,Cameroun,"3,736891042","-1505,133036","623,7597046","1604,878421","44347,23788","6,247677133","0,26809"
2022,Cameroun,"3,248344978","-2018,87065","606,5697632","1736,861047","49279,41486","7,382813843","0,26809"
2023,Cameroun,"3,6","-1951,026641","606,3452759","1816,646395","52907,54455","4,530612673","0,26809"
2024,Cameroun,"3,6","-2039,918175","581,8103638","1978,02072","59101,94769","3,509451166","0,26809"
2015,Cap-Vert,"4,705791465","-64,13517853","99,68811035","3482,678868","1849,790054","-1,407816371","0,34437"
2016,Cap-Vert,"4,013257261","-139,6344619","97,80693817","3714,874886","1996,741536","0,784415251","0,34437"
2017,Cap-Vert,"3,70696458","-97,06196116","93,41358185","4055,25088","2205,09944","1,256995667","0,34437"
2018,Cap-Vert,"7,636081682","-21,81680752","98,49517822","4095,34408","2252,177142","1,106666743","0,34437"
2019,Cap-Vert,"-19,30282276","-285,683977","96,79574585","3276,267761","1821,56556","0,605795808","0,34437"
2020,Cap-Vert,"6,811176417","-250,6321179","93,21809387","3489,973343","2051,842577","1,862152975","0,34437"
2021,Cap-Vert,"17,7141812","-78,24658493","104,8630676","3788,261144","2247,003309","7,930929254","0,34437"
2022,Cap-Vert,"5,009772108","-64,40220141","101,8048096","4232,329497","2533,819488","3,724375177","0,34437"
2023,Cap-Vert,"4,67843073","-152,5476864","101,9220123","4623,115099","2794,492776","2,0","0,34437"
2024,Cap-Vert,"4,707427334","-159,720285","100,6036758","4931,906814","3009,493925","1,993785992","0,34437"
2015,Congo,"-10,70209626","-3596,012164","592,6055908","2194,606982","10931,3286","3,190561797","0,31722"
2016,Congo,"-4,373500999","-569,3158457","580,6567383","2315,626228","11834,47328","0,450063823","0,31722"
2017,Congo,"-6,427377048","761,5081426","555,4464722","2817,100935","14773,89991","1,152778964","0,31722"
2018,Congo,"-0,621814365","1632,374163","585,9110107","2597,644642","13976,63739","2,206073058","0,31722"
2019,Congo,"-6,26777228","1440,630928","575,5859985","2078,379313","11468,68826","1,795371471","0,31722"
2020,Congo,"1,01507037","1584,15222","554,5307007","2270,844288","13380,23011","1,715642755","0,31722"
2021,Congo,"1,475356133","-385,8744098","623,7597046","2309,403982","13937,49321","3,043443347","0,31722"
2022,Congo,"1,906864264","-604,3103979","606,5697632","2291,27099","14166,66504","4,301745636","0,31722"
2023,Congo,"2,7","-268,2789068","606,1029663","2522,018374","15971,84401","3,091436309","0,31722"
2024,Congo,"3,6","-172,4634507","630,4588623","2493,081571","16166,23038","3,400000001","0,31722"
2015,Côte d'Ivoire,"7,971745995","-414,2729562","592,6055908","1862,596047","48407,76301","0,723178458","0,35693"
2016,Côte d'Ivoire,"7,702089832","-1049,091689","580,6567383","1964,299343","52512,34506","0,685881065","0,35693"
2017,Côte d'Ivoire,"7,433070988","-2284,501507","555,4464722","2130,866139","58522,47629","0,359409031","0,35693"
2018,Côte d'Ivoire,"6,7215","-1348,82742","585,9110107","2141,76837","60382,89493","-1,10686344","0,35693"
2019,Côte d'Ivoire,"0,7008","-1974,306753","575,5859985","2179,729373","63027,85351","2,425006568","0,35693"
2020,Côte d'Ivoire,"7,0623","-2874,116509","554,5307007","2455,981163","72794,63328","4,091951897","0,35693"
2021,Côte d'Ivoire,"6,2183","-5393,827499","623,7597046","2333,37127","70922,82441","5,276167243","0,35693"
2022,Côte d'Ivoire,"6,5359","-9208,027599","606,5697632","2554,672994","79618,05462","4,38711707","0,35693"
2023,Côte d'Ivoire,"6,1","-3581,0","606,1029663","2710,978583","86573,0136","3,466373147","0,35693"
2024,Côte d'Ivoire,"6,3","-3596,8","630,4588623","2690,685796","88016,36842","-0,153","0,35693"
2015,Gabon,"2,081859903","765,8960076","592,6055908","6984,40447","14023,86002","2,106707128","0,34047"
2016,Gabon,"0,451461864","924,4804912","580,6567383","7230,567965","14929,7635","2,651925831","0,34047"
2017,Gabon,"0,836873484","1982,970942","555,4464722","7937,76982","16822,31713","4,749066521","0,34047"
2018,Gabon,"3,921816801","460,3159893","585,9110107","7766,996412","16874,40553","2,464567562","0,34047"
2019,Gabon,"-1,837320574","-174,3815212","575,5859985","6893,131747","15342,23634","1,352761107","0,34047"
2020,Gabon,"1,467590705","327,3268626","554,5307007","8181,408762","19444,9342","1,086907465","0,34047"
2021,Gabon,"3,037713767","-129,0957615","623,7597046","8409,207366","20440,65558","4,231247983","0,34047"
2022,Gabon,"2,4463432","531,3147096","606,5697632","8071,397599","20055,71997","3,629015342","0,34047"
2023,Gabon,"2,8","275,0811093","606,1029663","7858,908737","19953,39206","1,173119984","0,34047"
